time,open,high,low,close,volume,symbol
2015-01-29,7.4535,7.469,7.4379,7.4535,1040000.0,FPT
2015-01-30,7.469,7.4846,7.3911999999999995,7.3911999999999995,2730000.0,FPT
2015-02-02,7.4068000000000005,7.4379,7.3601,7.3757,1020000.0,FPT
2015-02-03,7.3757,7.3911999999999995,7.3134,7.3134,962020.0,FPT
2015-02-04,7.3757,7.3757,7.2668,7.297899999999999,1430000.0,FPT
2015-02-05,7.3134,7.3911999999999995,7.297899999999999,7.344600000000001,849730.0,FPT
2015-02-06,7.3911999999999995,7.3911999999999995,7.344600000000001,7.3601,531140.0,FPT
2015-02-09,7.4224,7.4224,7.344600000000001,7.344600000000001,675830.0,FPT
2015-02-10,7.344600000000001,7.3601,7.3134,7.329,665480.0,FPT
2015-02-11,7.3601,7.3911999999999995,7.344600000000001,7.3911999999999995,647320.0,FPT
2015-02-12,7.4535,7.5001999999999995,7.4379,7.4379,2020000.0,FPT
2015-02-13,7.469,7.5001999999999995,7.4379,7.469,923290.0,FPT
2015-02-24,7.5001999999999995,7.5935,7.5001999999999995,7.562399999999999,1630000.0,FPT
2015-02-25,7.5935,7.6246,7.5313,7.5468,2420000.0,FPT
2015-02-26,7.5313,7.6246,7.5313,7.6246,1280000.0,FPT
2015-02-27,7.6402,7.6713000000000005,7.578,7.5935,1460000.0,FPT
2015-03-02,7.6246,7.6246,7.5313,7.5468,2190000.0,FPT
2015-03-03,7.5935,7.609100000000001,7.562399999999999,7.609100000000001,996240.0,FPT
2015-03-04,7.6558,7.8581,7.6558,7.7802,4610000.0,FPT
2015-03-05,7.8581,7.935899999999999,7.7802,7.7802,1830000.0,FPT
2015-03-06,7.7802,7.8581,7.7646999999999995,7.7802,1560000.0,FPT
2015-03-09,7.7646999999999995,7.7802,7.6558,7.6558,1930000.0,FPT
2015-03-10,7.7024,7.7336,7.6713000000000005,7.7336,1520000.0,FPT
2015-03-11,7.7336,7.7336,7.6869,7.7024,1360000.0,FPT
2015-03-12,7.7024,7.7024,7.6402,7.6558,1710000.0,FPT
2015-03-13,7.7024,7.7336,7.6402,7.6558,1320000.0,FPT
2015-03-16,7.6558,7.6869,7.6558,7.6869,996010.0,FPT
2015-03-17,7.7024,7.8581,7.7024,7.7802,3330000.0,FPT
